epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
63,2883.33,0.44854,0.31446,0.85291,0.98451,0.97125,0.98917,0.9472,0.32226,0.23888,0.79503,0.000630028,0.000630028,0.000630028
64,2931.13,0.45412,0.31554,0.85606,0.97879,0.98831,0.99141,0.9529,0.31531,0.23552,0.79117,0.000625528,0.000625528,0.000625528
65,2976.24,0.44504,0.31377,0.84978,0.98372,0.98495,0.99157,0.95574,0.30504,0.2261,0.79153,0.000621029,0.000621029,0.000621029
66,3021.73,0.44024,0.30985,0.84865,0.98628,0.98868,0.99243,0.95604,0.30044,0.22485,0.78878,0.000616529,0.000616529,0.000616529
67,3066.79,0.44708,0.30892,0.85009,0.98192,0.98126,0.99075,0.95384,0.3105,0.23121,0.79002,0.00061203,0.00061203,0.00061203
68,3112.11,0.43325,0.30625,0.84789,0.98716,0.97913,0.99133,0.95475,0.30248,0.23076,0.78898,0.00060753,0.00060753,0.00060753
69,3157.64,0.43481,0.30541,0.85097,0.99059,0.9863,0.99234,0.95533,0.30128,0.22447,0.78844,0.000603031,0.000603031,0.000603031
70,3202.87,0.44869,0.31092,0.84881,0.98913,0.98562,0.99347,0.9598,0.29898,0.22778,0.78525,0.000598531,0.000598531,0.000598531
71,3248.13,0.43702,0.30295,0.84913,0.98881,0.9873,0.99259,0.95627,0.30318,0.22342,0.78663,0.000594031,0.000594031,0.000594031
72,3293.21,0.43203,0.30183,0.84741,0.99248,0.98168,0.99285,0.96078,0.29193,0.22134,0.78427,0.000589532,0.000589532,0.000589532
73,3340.59,0.42603,0.29863,0.84654,0.98906,0.98463,0.99229,0.95805,0.29719,0.22177,0.78569,0.000585032,0.000585032,0.000585032
74,3387.96,0.44674,0.30228,0.85097,0.99276,0.99147,0.99369,0.96166,0.28936,0.2134,0.78358,0.000580533,0.000580533,0.000580533
75,3433.05,0.42394,0.29504,0.84553,0.98464,0.98548,0.99229,0.95701,0.3033,0.22448,0.78521,0.000576033,0.000576033,0.000576033
76,3478.27,0.41822,0.29748,0.84471,0.98539,0.98757,0.99254,0.95771,0.29714,0.22125,0.7848,0.000571534,0.000571534,0.000571534
77,3523.57,0.41414,0.29237,0.84504,0.98797,0.98511,0.99311,0.96305,0.28798,0.21368,0.78356,0.000567034,0.000567034,0.000567034
78,3568.68,0.41796,0.29355,0.84763,0.98691,0.98193,0.99073,0.96186,0.28303,0.21555,0.78449,0.000562535,0.000562535,0.000562535
79,3616.65,0.41302,0.2912,0.84481,0.99293,0.98324,0.99305,0.96351,0.28651,0.21211,0.78481,0.000558035,0.000558035,0.000558035
80,3662.33,0.41263,0.29136,0.84166,0.98572,0.98347,0.99167,0.96478,0.27883,0.21051,0.78466,0.000553536,0.000553536,0.000553536
81,3707.66,0.41707,0.29483,0.84339,0.99015,0.98725,0.99289,0.96434,0.28004,0.21261,0.78425,0.000549036,0.000549036,0.000549036
82,3755.04,0.40607,0.28584,0.8398,0.98736,0.98981,0.99251,0.96498,0.27971,0.21008,0.7856,0.000544536,0.000544536,0.000544536
83,3800.45,0.40729,0.28585,0.83998,0.99023,0.98971,0.99379,0.96753,0.26906,0.20423,0.77869,0.000540037,0.000540037,0.000540037
84,3846.24,0.40632,0.28512,0.83897,0.98915,0.98924,0.99348,0.96778,0.27317,0.20602,0.77842,0.000535537,0.000535537,0.000535537
85,3892.28,0.40452,0.2859,0.83979,0.98641,0.99302,0.99384,0.96788,0.27251,0.20246,0.77898,0.000531038,0.000531038,0.000531038
86,3937.69,0.40087,0.28239,0.84099,0.9911,0.99404,0.99423,0.96607,0.27462,0.20181,0.78024,0.000526538,0.000526538,0.000526538
87,3983.07,0.40332,0.28054,0.83892,0.99059,0.98752,0.99313,0.96453,0.27511,0.20445,0.77858,0.000522039,0.000522039,0.000522039
88,4028.46,0.40413,0.27861,0.83638,0.99318,0.98662,0.9933,0.96896,0.26703,0.20302,0.77685,0.000517539,0.000517539,0.000517539
