epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
126,8674.18,0.34278,0.22419,0.81239,0.99992,1,0.995,0.9878,0.20333,0.15223,0.7536,0.005875,0.005875,0.005875
127,8742.73,0.34096,0.22224,0.81343,0.9999,1,0.995,0.98836,0.20199,0.15086,0.75352,0.005842,0.005842,0.005842
128,8809.99,0.34123,0.22428,0.81404,0.99991,1,0.995,0.98839,0.20169,0.15212,0.75277,0.005809,0.005809,0.005809
129,8878.63,0.33727,0.22049,0.81089,0.99992,1,0.995,0.98867,0.20305,0.15055,0.75221,0.005776,0.005776,0.005776
130,8950.8,0.33725,0.22025,0.81226,0.99991,1,0.995,0.98766,0.20567,0.15218,0.7527,0.005743,0.005743,0.005743
131,9027.16,0.33405,0.22547,0.81204,0.99992,1,0.995,0.98798,0.2014,0.14966,0.75314,0.00571,0.00571,0.00571
132,9105.51,0.33321,0.21868,0.81112,0.99992,1,0.995,0.98927,0.19782,0.15057,0.75194,0.005677,0.005677,0.005677
133,9184.02,0.33108,0.21788,0.81096,0.99992,1,0.995,0.98862,0.19727,0.14999,0.75221,0.005644,0.005644,0.005644
134,9255.69,0.33025,0.21703,0.80945,0.99993,1,0.995,0.98907,0.20142,0.14961,0.75197,0.005611,0.005611,0.005611
135,9328.2,0.32956,0.22122,0.81111,0.99991,1,0.995,0.98875,0.20135,0.15106,0.75258,0.005578,0.005578,0.005578
136,9400.2,0.33078,0.21831,0.81014,0.99992,1,0.995,0.98927,0.20016,0.14943,0.75245,0.005545,0.005545,0.005545
137,9475.22,0.33096,0.21721,0.81064,0.99992,1,0.995,0.98797,0.20639,0.14895,0.75249,0.005512,0.005512,0.005512
138,9544.39,0.32747,0.21761,0.81219,0.99991,1,0.995,0.98791,0.20318,0.14943,0.75207,0.005479,0.005479,0.005479
139,9607,0.32607,0.21777,0.8113,0.99992,1,0.995,0.98934,0.19721,0.14688,0.75142,0.005446,0.005446,0.005446
140,9684.97,0.32234,0.21382,0.81063,0.99992,1,0.995,0.98913,0.19374,0.14483,0.75183,0.005413,0.005413,0.005413
141,9762.31,0.32877,0.21636,0.81001,0.99992,1,0.995,0.98997,0.19563,0.14539,0.75145,0.00538,0.00538,0.00538
142,9840.27,0.32273,0.21645,0.81042,0.99991,1,0.995,0.99048,0.19066,0.14413,0.75123,0.005347,0.005347,0.005347
143,9916.39,0.32529,0.21522,0.81101,0.99991,1,0.995,0.99043,0.18824,0.143,0.7513,0.005314,0.005314,0.005314
144,9992.57,0.32394,0.21132,0.81092,0.99992,1,0.995,0.99072,0.19347,0.14444,0.75113,0.005281,0.005281,0.005281
145,10069,0.32051,0.21685,0.80935,0.99991,1,0.995,0.99101,0.1907,0.1445,0.75104,0.005248,0.005248,0.005248
146,10145.4,0.32146,0.21207,0.80977,0.99992,1,0.995,0.99024,0.19135,0.14271,0.75071,0.005215,0.005215,0.005215
147,10219.9,0.31835,0.2123,0.81002,0.99991,1,0.995,0.99016,0.19207,0.14262,0.75007,0.005182,0.005182,0.005182
148,10296.1,0.3197,0.21342,0.80794,0.99991,1,0.995,0.99012,0.18983,0.14209,0.75071,0.005149,0.005149,0.005149
149,10370.2,0.31998,0.21235,0.80871,0.99992,1,0.995,0.99005,0.19383,0.14388,0.75026,0.005116,0.005116,0.005116
150,10440.3,0.31445,0.20916,0.80772,0.99991,1,0.995,0.99047,0.19001,0.14263,0.75,0.005083,0.005083,0.005083
151,10509.1,0.31913,0.21341,0.80934,0.99991,1,0.995,0.9912,0.18719,0.14212,0.74947,0.00505,0.00505,0.00505
152,10577.4,0.31699,0.20951,0.80728,0.99992,1,0.995,0.99073,0.18794,0.14005,0.74892,0.005017,0.005017,0.005017
153,10647.1,0.31536,0.20849,0.80957,0.99992,1,0.995,0.99081,0.18833,0.14127,0.74944,0.004984,0.004984,0.004984
154,10715.5,0.313,0.20738,0.80943,0.99992,1,0.995,0.99152,0.1876,0.13964,0.74924,0.004951,0.004951,0.004951
155,10784.2,0.3107,0.21018,0.80875,0.99993,1,0.995,0.99122,0.18408,0.13887,0.74908,0.004918,0.004918,0.004918
156,10853,0.31081,0.21013,0.80932,0.99993,1,0.995,0.99144,0.18265,0.13829,0.74915,0.004885,0.004885,0.004885
157,10921.5,0.31241,0.20785,0.80672,0.99992,1,0.995,0.99138,0.18079,0.13777,0.74828,0.004852,0.004852,0.004852
158,10990.2,0.31243,0.20714,0.80695,0.99992,1,0.995,0.99125,0.18226,0.13895,0.74872,0.004819,0.004819,0.004819
159,11060.1,0.3104,0.2063,0.80764,0.99993,1,0.995,0.99141,0.18105,0.13677,0.74846,0.004786,0.004786,0.004786
160,11117.5,0.30484,0.20464,0.80744,0.99992,1,0.995,0.99168,0.17966,0.13753,0.74819,0.004753,0.004753,0.004753
161,11185.9,0.30512,0.20535,0.80772,0.99992,1,0.995,0.99206,0.17922,0.13711,0.7483,0.00472,0.00472,0.00472
162,11262.5,0.30866,0.20531,0.80647,0.99992,1,0.995,0.99137,0.1805,0.13817,0.74825,0.004687,0.004687,0.004687
163,11331.9,0.30961,0.20703,0.80519,0.99991,1,0.995,0.99078,0.18146,0.13826,0.74844,0.004654,0.004654,0.004654
164,11395.2,0.30682,0.20349,0.8066,0.99992,1,0.995,0.99141,0.18075,0.13722,0.74834,0.004621,0.004621,0.004621
165,11464.6,0.30292,0.20226,0.80628,0.99992,1,0.995,0.99167,0.17918,0.13658,0.74824,0.004588,0.004588,0.004588
166,11533.3,0.30441,0.2025,0.80463,0.99991,1,0.995,0.99131,0.17832,0.13671,0.74797,0.004555,0.004555,0.004555
167,11611.2,0.29954,0.20344,0.80693,0.99991,1,0.995,0.99173,0.18026,0.13648,0.74837,0.004522,0.004522,0.004522
168,11685.1,0.30144,0.20156,0.80595,0.99992,1,0.995,0.99155,0.17946,0.13607,0.74816,0.004489,0.004489,0.004489
169,11754.4,0.30321,0.20203,0.80611,0.99991,1,0.995,0.99149,0.17845,0.13574,0.74817,0.004456,0.004456,0.004456
170,11823.6,0.29653,0.20233,0.80686,0.99992,1,0.995,0.99106,0.17806,0.13449,0.74792,0.004423,0.004423,0.004423
171,11894.1,0.30087,0.20019,0.80416,0.99992,1,0.995,0.99139,0.17889,0.13377,0.74786,0.00439,0.00439,0.00439
